iter	Passed	Remaining
1014	1996150	3903800
1015	1997990	3901586
1016	1999823	3899360
1017	2001643	3897108
1018	2003496	3894922
1019	2005553	3893134
1020	2007409	3890954
1021	2009261	3888765
1022	2011155	3886660
1023	2013010	3884480
1024	2014817	3882209
1025	2016817	3880310
1026	2018983	3878728
1027	2021183	3877211
1028	2023157	3875261
1029	2025553	3874116
1030	2027692	3872480
1031	2029759	3870703
1032	2032014	3869286
1033	2034091	3867527
1034	2036027	3865501
1035	2037935	3863422
1036	2039862	3861379
1037	2041765	3859290
1038	2043721	3857303
1039	2045646	3855256
1040	2047787	3853617
1041	2049875	3851877
1042	2051906	3850030
1043	2054060	3848412
1044	2056199	3846765
1045	2058280	3845009
1046	2060288	3843116
1047	2062334	3841294
1048	2064542	3839774
1049	2066459	3837709
1050	2068478	3835837
1051	2070693	3834326
1052	2072750	3832522
1053	2074951	3830982
1054	2076974	3829114
1055	2078940	3827140
1056	2081112	3825544
1057	2083263	3823910
1058	2085979	3823310
1059	2088738	3822786
1060	2090928	3821215
1061	2093102	3819615
1062	2095310	3818077
1063	2097479	3816466
1064	2099518	3814617
1065	2101757	3813132
1066	2103905	3811480
1067	2105970	3809677
1068	2108286	3808327
1069	2110435	3806674
1070	2112499	3804865
1071	2114604	3803132
1072	2116764	3801495
1073	2118948	3799901
1074	2120858	3797817
1075	2122993	3796133
1076	2125060	3794328
1077	2126941	3792190
1078	2129294	3790893
1079	2131428	3789206
1080	2133641	3787658
1081	2135697	3785829
1082	2138015	3784465
1083	2140025	3782554
1084	2142037	3780646
1085	2144148	3778913
1086	2146563	3777715
1087	2148641	3775922
1088	2150933	3774502
1089	2152978	3772650
1090	2155045	3770836
1091	2157115	3769025
1092	2159373	3767544
1093	2161455	3765753
1094	2163572	3764023
1095	2165547	3762046
1096	2167659	3760305
1097	2169568	3758213
1098	2171626	3756381
1099	2173668	3754517
1100	2175692	3752624
1101	2177863	3750983
1102	2179877	3749072
1103	2181927	3747223
1104	2183881	3745208
1105	2185630	3742843
1106	2187429	3740563
1107	2189452	3738668
1108	2191664	3737093
1109	2193721	3735255
1110	2195843	3733527
1111	2197757	3731444
1112	2199669	3729358
1113	2201649	3727388
1114	2203755	3725630
1115	2205881	3723908
1116	2208081	3722308
1117	2210328	3720785
1118	2212365	3718910
1119	2214411	3717047
1120	2216604	3715433
1121	2218833	3713876
1122	2221173	3712505
1123	2223326	3710819
1124	2225330	3708884
1125	2227422	3707095
1126	2229406	3705127
