iter	Passed	Remaining
1155	7660	5592
1156	7667	5586
1157	7676	5581
1158	7679	5572
1159	7685	5565
1160	7691	5558
1161	7699	5552
1162	7701	5542
1163	7709	5536
1164	7719	5532
1165	7728	5527
1166	7735	5521
1167	7737	5511
1168	7738	5501
1169	7747	5496
1170	7748	5485
1171	7755	5479
1172	7758	5469
1173	7764	5463
1174	7773	5457
1175	7780	5451
1176	7787	5445
1177	7795	5439
1178	7802	5432
1179	7810	5427
1180	7816	5420
1181	7824	5414
1182	7831	5408
1183	7832	5398
1184	7839	5392
1185	7842	5382
1186	7850	5377
1187	7853	5367
1188	7856	5358
1189	7857	5348
1190	7865	5342
1191	7874	5337
1192	7882	5331
1193	7889	5325
1194	7897	5320
1195	7898	5309
1196	7899	5299
1197	7906	5293
1198	7907	5282
1199	7915	5277
1200	7916	5266
1201	7923	5260
1202	7925	5250
1203	7933	5244
1204	7942	5240
1205	7951	5234
1206	7959	5229
1207	7971	5226
1208	7972	5216
1209	7974	5206
1210	7984	5202
1211	7993	5197
1212	8002	5191
1213	8011	5186
1214	8019	5181
1215	8021	5171
1216	8027	5165
1217	8036	5159
1218	8044	5153
1219	8052	5148
1220	8053	5137
1221	8062	5133
1222	8069	5126
1223	8078	5121
1224	8086	5115
1225	8094	5109
1226	8101	5103
1227	8109	5098
1228	8118	5093
1229	8128	5088
1230	8137	5083
1231	8146	5078
1232	8155	5073
1233	8164	5068
1234	8176	5064
1235	8185	5059
1236	8194	5054
1237	8202	5048
1238	8210	5042
1239	8218	5037
1240	8226	5031
1241	8228	5021
1242	8229	5011
1243	8231	5002
1244	8239	4996
1245	8247	4990
1246	8249	4981
1247	8251	4972
1248	8259	4966
1249	8267	4960
1250	8271	4952
1251	8279	4946
1252	8286	4940
1253	8288	4930
1254	8295	4924
1255	8304	4919
1256	8311	4913
1257	8319	4907
1258	8321	4897
1259	8329	4891
1260	8337	4885
1261	8344	4879
1262	8355	4875
1263	8359	4867
1264	8367	4861
1265	8374	4855
1266	8382	4849
1267	8390	4843
1268	8398	4838
1269	8410	4834
1270	8418	4828
1271	8426	4822
1272	8434	4817
1273	8441	4810
1274	8449	4804
1275	8457	4798
1276	8463	4791
1277	8464	4782
1278	8471	4775
1279	8478	4769
1280	8479	4759
1281	8487	4753
1282	8487	4743
1283	8494	4736
1284	8500	4730
1285	8507	4723
1286	8516	4717
1287	8517	4708
1288	8524	4702
1289	8533	4696
1290	8539	4689
1291	8540	4679
1292	8547	4673
1293	8554	4667
1294	8561	4661
1295	8565	4652
1296	8572	4646
1297	8573	4636
1298	8580	4630
1299	8581	4620
1300	8587	4613
1301	8595	4607
1302	8602	4601
1303	8610	4595
1304	8617	4589
1305	8618	4580
1306	8626	4573
1307	8633	4567
1308	8637	4559
1309	8645	4553
1310	8646	4544
1311	8653	4538
1312	8654	4528
1313	8662	4522
1314	8670	4516
1315	8677	4510
1316	8684	4503
1317	8691	4497
1318	8698	4491
1319	8699	4481
1320	8701	4472
1321	8707	4465
1322	8715	4459
